מספר_הזמנה,תאריך,שנה,חודש,יום_בשבוע,עונה,חג,רשת,עיר,אזור,קטגוריה,תת_קטגוריה,מוצר,כמות,מחיר_יחידה,הנחה_אחוז,מכירות_ש,רווח_ש,אחוז_רווח
IL-01656,2023-12-14,2023,12,חמישי,חורף,,מגה,ירושלים,ירושלים,אלקטרוניקה,מטעני חשמל,מטען מהיר USB-C,8,84.55,0.05,676.4,122.95,18.2
IL-01657,2022-01-10,2022,1,שני,חורף,,רמי לוי,בני ברק,מרכז,בית וגן,גינה,זרנוק גינה,2,80.1,0.1,160.2,44.92,28.0
IL-01658,2022-08-28,2022,8,ראשון,קיץ,,יינות ביתן,אשקלון,דרום,ביגוד והנעלה,אביזרים,ארנק עור,5,126.65,0.15,633.25,221.18,34.9
IL-01659,2024-06-25,2024,6,שלישי,קיץ,,יינות ביתן,בית שמש,ירושלים,בית וגן,סלון,שולחן קפה,8,339.15,0.15,2713.2,775.82,28.6
IL-01660,2024-08-01,2024,8,חמישי,קיץ,,יינות ביתן,הרצליה,שרון,מזון ומשקאות,פירות וירקות,"עגבניות ק""ג",5,7.9,0.0,39.5,4.57,11.6
IL-01661,2024-02-23,2024,2,שישי,חורף,,רמי לוי,באר שבע,דרום,אלקטרוניקה,אוזניות,Sony WH-1000,6,809.1,0.1,4854.6,790.28,16.3
IL-01662,2022-01-20,2022,1,חמישי,חורף,,מגה,אשדוד,דרום,אלקטרוניקה,אוזניות,AirPods,7,594.15,0.15,4159.05,680.4,16.4
IL-01663,2023-01-01,2023,1,ראשון,חורף,,מגה,חיפה,צפון,ביגוד והנעלה,נשים,מכנסי ספורט,5,129.0,0.0,645.0,225.12,34.9
IL-01664,2023-01-25,2023,1,רביעי,חורף,,חצי חינם,חיפה,צפון,אלקטרוניקה,מחשבים,טאבלט iPad,4,1999.2,0.2,7996.8,1309.05,16.4
IL-01665,2023-06-28,2023,6,רביעי,קיץ,,רמי לוי,חולון,מרכז,אלקטרוניקה,מחשבים,טאבלט iPad,6,2499.0,0.0,14994.0,2378.27,15.9
IL-01666,2022-08-07,2022,8,ראשון,קיץ,,שופרסל,ראשון לציון,מרכז,בית וגן,גינה,זרנוק גינה,1,71.2,0.2,71.2,20.16,28.3
IL-01667,2023-10-08,2023,10,ראשון,סתיו,,יינות ביתן,חיפה,צפון,ביגוד והנעלה,הנעלה,נייקי אייר,5,379.05,0.05,1895.25,648.84,34.2
IL-01668,2023-03-31,2023,3,שישי,אביב,,יינות ביתן,אשקלון,דרום,אלקטרוניקה,טלפונים,Xiaomi 13,7,1424.05,0.05,9968.35,2244.07,22.5
IL-01669,2022-03-08,2022,3,שלישי,אביב,,מגה,נצרת,צפון,בית וגן,סלון,שולחן קפה,2,339.15,0.15,678.3,135.98,20.0
IL-01670,2024-11-27,2024,11,רביעי,חורף,,מגה,חיפה,צפון,מזון ומשקאות,מוצרי חלב,יוגורט דנונה,4,4.27,0.05,17.08,2.61,15.3
IL-01671,2022-07-26,2022,7,שלישי,קיץ,,מגה,ירושלים,ירושלים,בריאות ויופי,היגיינה,שמפו Head&Shoulders,5,29.9,0.0,149.5,53.43,35.7
IL-01672,2023-07-06,2023,7,חמישי,קיץ,,יינות ביתן,חיפה,צפון,ביגוד והנעלה,ילדים,חליפת תינוק,8,75.05,0.05,600.4,172.79,28.8
IL-01673,2023-03-08,2023,3,רביעי,אביב,,חצי חינם,בית שמש,ירושלים,ביגוד והנעלה,ילדים,נעלי ילדים,5,113.05,0.05,565.25,192.03,34.0
IL-01674,2023-01-04,2023,1,רביעי,חורף,,רמי לוי,נהריה,צפון,בריאות ויופי,קוסמטיקה,קרם לחות SPF,5,55.2,0.2,276.0,85.24,30.9
IL-01675,2023-04-28,2023,4,שישי,אביב,,ויקטורי,נצרת,צפון,בית וגן,סלון,כרית נוי,3,56.05,0.05,168.15,39.98,23.8
IL-01676,2022-01-20,2022,1,חמישי,חורף,,ויקטורי,פתח תקווה,מרכז,בית וגן,סלון,מנורת שולחן,6,103.2,0.2,619.2,158.93,25.7
IL-01677,2024-09-23,2024,9,שני,סתיו,,מגה,בני ברק,מרכז,בריאות ויופי,תרופות OTC,אספירין,2,12.66,0.15,25.32,7.26,28.7
IL-01678,2022-12-01,2022,12,חמישי,חורף,,רמי לוי,תל אביב,מרכז,ביגוד והנעלה,הנעלה,נעלי עבודה,2,265.05,0.05,530.1,213.4,40.3
IL-01679,2023-11-17,2023,11,שישי,חורף,,מגה,בני ברק,מרכז,ביגוד והנעלה,אביזרים,ארנק עור,5,149.0,0.0,745.0,281.66,37.8
IL-01680,2022-02-10,2022,2,חמישי,חורף,,שופרסל,בית שמש,ירושלים,ביגוד והנעלה,אביזרים,חגורת עור,3,71.2,0.2,213.6,82.91,38.8
IL-01681,2023-08-06,2023,8,ראשון,קיץ,,מגה,ירושלים,ירושלים,בריאות ויופי,ויטמינים,ויטמין D3,8,44.0,0.0,352.0,120.26,34.2
IL-01682,2024-02-20,2024,2,שלישי,חורף,,מגה,נהריה,צפון,בית וגן,סלון,כרית נוי,6,56.05,0.05,336.3,82.77,24.6
IL-01683,2024-04-08,2024,4,שני,אביב,,שופרסל,נתניה,שרון,מזון ומשקאות,לחם ומאפים,חלה גדולה,4,14.9,0.0,59.6,6.21,10.4
IL-01684,2023-10-11,2023,10,רביעי,סתיו,,מגה,באר שבע,דרום,ביגוד והנעלה,אביזרים,ארנק עור,7,149.0,0.0,1043.0,380.36,36.5
IL-01685,2024-06-30,2024,6,ראשון,קיץ,,מגה,אשקלון,דרום,בריאות ויופי,ויטמינים,מגנזיום,3,49.0,0.0,147.0,41.65,28.3
IL-01686,2022-02-17,2022,2,חמישי,חורף,,חצי חינם,פתח תקווה,מרכז,אלקטרוניקה,אוזניות,JBL Tune,2,299.0,0.0,598.0,120.43,20.1
IL-01687,2022-12-08,2022,12,חמישי,חורף,,שופרסל,בית שמש,ירושלים,מזון ומשקאות,מוצרי חלב,גבינה לבנה 5%,1,12.9,0.0,12.9,1.45,11.2
IL-01688,2024-03-24,2024,3,ראשון,אביב,פורים,שופרסל,נצרת,צפון,מזון ומשקאות,בשר ועוף,"כנפיים ק""ג",3,49.8,0.0,149.4,16.25,10.9
IL-01689,2023-05-22,2023,5,שני,אביב,,מגה,אשדוד,דרום,בית וגן,סלון,כרית נוי,3,59.0,0.0,177.0,53.34,30.1
IL-01690,2022-03-13,2022,3,ראשון,אביב,,מגה,באר שבע,דרום,ביגוד והנעלה,הנעלה,סנדלי נוחות,5,179.1,0.1,895.5,325.36,36.3
IL-01691,2024-06-30,2024,6,ראשון,קיץ,,חצי חינם,פתח תקווה,מרכז,בריאות ויופי,קוסמטיקה,פאודר פנים,8,75.65,0.15,605.2,187.11,30.9
IL-01692,2024-06-09,2024,6,ראשון,קיץ,,חצי חינם,נצרת,צפון,בריאות ויופי,היגיינה,דאודורנט Rexona,8,17.91,0.1,143.28,50.83,35.5
IL-01693,2023-04-11,2023,4,שלישי,אביב,,שופרסל,אשקלון,דרום,בית וגן,שינה,שמיכת קיץ,7,149.0,0.0,1043.0,258.21,24.8
IL-01694,2022-11-15,2022,11,שלישי,חורף,,שופרסל,בני ברק,מרכז,מזון ומשקאות,חטיפים,ביסלי,6,6.9,0.0,41.4,5.73,13.8
IL-01695,2024-08-18,2024,8,ראשון,קיץ,,שופרסל,נצרת,צפון,בית וגן,ניקיון,מגב רצפה,1,31.2,0.2,31.2,9.29,29.8
IL-01696,2024-05-31,2024,5,שישי,אביב,,מגה,אשקלון,דרום,בריאות ויופי,קוסמטיקה,קרם לחות SPF,6,69.0,0.0,414.0,128.64,31.1
IL-01697,2024-04-23,2024,4,שלישי,אביב,,יינות ביתן,הרצליה,שרון,בית וגן,ניקיון,סבון כלים Fairy,3,10.96,0.15,32.88,9.53,29.0
IL-01698,2024-03-09,2024,3,שבת,אביב,,מגה,חולון,מרכז,מזון ומשקאות,פירות וירקות,"בננות ק""ג",4,6.21,0.1,24.84,2.05,8.3
IL-01699,2023-07-11,2023,7,שלישי,קיץ,,חצי חינם,בני ברק,מרכז,בריאות ויופי,היגיינה,דאודורנט Rexona,4,15.92,0.2,63.68,22.14,34.8
IL-01700,2023-08-17,2023,8,חמישי,קיץ,,חצי חינם,ראשון לציון,מרכז,בית וגן,גינה,עציץ קרמיקה,5,41.65,0.15,208.25,57.15,27.4
IL-01701,2022-02-09,2022,2,רביעי,חורף,,שופרסל,פתח תקווה,מרכז,בריאות ויופי,תרופות OTC,אקמול 500מג,2,18.9,0.0,37.8,11.5,30.4
IL-01702,2023-07-06,2023,7,חמישי,קיץ,,חצי חינם,פתח תקווה,מרכז,בית וגן,מטבח,סיר נירוסטה,2,149.0,0.0,298.0,92.82,31.1
IL-01703,2022-01-31,2022,1,שני,חורף,,רמי לוי,חיפה,צפון,ביגוד והנעלה,הנעלה,סנדלי נוחות,8,199.0,0.0,1592.0,523.56,32.9
IL-01704,2024-08-07,2024,8,רביעי,קיץ,,שופרסל,אשדוד,דרום,ביגוד והנעלה,גברים,חולצת פולו,1,99.0,0.0,99.0,30.47,30.8
IL-01705,2024-03-14,2024,3,חמישי,אביב,,יינות ביתן,ראשון לציון,מרכז,בית וגן,סלון,כרית נוי,5,47.2,0.2,236.0,55.06,23.3
IL-01706,2024-02-21,2024,2,רביעי,חורף,,שופרסל,נתניה,שרון,מזון ומשקאות,משקאות,קוקה קולה 1.5L,7,6.32,0.2,44.24,6.11,13.8
IL-01707,2024-06-26,2024,6,רביעי,קיץ,,חצי חינם,חולון,מרכז,מזון ומשקאות,לחם ומאפים,חלה גדולה,2,13.41,0.1,26.82,2.19,8.2
IL-01708,2023-03-03,2023,3,שישי,אביב,,ויקטורי,חיפה,צפון,ביגוד והנעלה,ילדים,חליפת תינוק,1,67.15,0.15,67.15,27.04,40.3
IL-01709,2024-12-02,2024,12,שני,חורף,,מגה,ראשון לציון,מרכז,בית וגן,שינה,כרית שינה,6,89.0,0.0,534.0,116.17,21.8
IL-01710,2023-03-23,2023,3,חמישי,אביב,פורים,רמי לוי,ראשון לציון,מרכז,בית וגן,שינה,כרית שינה,3,135.28,0.2,405.84,134.29,33.1
IL-01711,2023-07-20,2023,7,חמישי,קיץ,,שופרסל,נהריה,צפון,בית וגן,סלון,כרית נוי,1,53.1,0.1,53.1,15.2,28.6
IL-01712,2022-11-14,2022,11,שני,חורף,,שופרסל,ירושלים,ירושלים,אלקטרוניקה,מחשבים,MacBook Air,2,4674.15,0.15,9348.3,1655.57,17.7
IL-01713,2023-11-25,2023,11,שבת,חורף,,חצי חינם,אשקלון,דרום,מזון ומשקאות,מוצרי חלב,גבינה לבנה 5%,3,10.96,0.15,32.88,3.41,10.4
IL-01714,2022-08-08,2022,8,שני,קיץ,,ויקטורי,פתח תקווה,מרכז,אלקטרוניקה,אוזניות,JBL Tune,6,239.2,0.2,1435.2,275.52,19.2
IL-01715,2024-06-17,2024,6,שני,קיץ,,רמי לוי,אשדוד,דרום,מזון ומשקאות,משקאות,מים נביעות 6פ',6,12.66,0.15,75.96,9.03,11.9
IL-01716,2022-10-03,2022,10,שני,סתיו,,שופרסל,בני ברק,מרכז,בית וגן,ניקיון,שואב אבק,5,359.1,0.1,1795.5,562.17,31.3
IL-01717,2024-09-30,2024,9,שני,סתיו,,יינות ביתן,חולון,מרכז,אלקטרוניקה,מטעני חשמל,כבל Lightning,6,41.65,0.15,249.9,45.84,18.3
IL-01718,2022-11-25,2022,11,שישי,חורף,,יינות ביתן,ראשון לציון,מרכז,אלקטרוניקה,טלוויזיות,"LG 50""",5,2069.1,0.1,10345.5,1908.84,18.5
IL-01719,2024-01-22,2024,1,שני,חורף,,שופרסל,חיפה,צפון,בריאות ויופי,ויטמינים,ויטמין D3,3,44.0,0.0,132.0,40.8,30.9
IL-01720,2024-01-16,2024,1,שלישי,חורף,,יינות ביתן,אשקלון,דרום,אלקטרוניקה,אוזניות,JBL Tune,2,254.15,0.15,508.3,90.63,17.8
IL-01721,2024-03-04,2024,3,שני,אביב,,יינות ביתן,חולון,מרכז,בית וגן,גינה,זרנוק גינה,5,89.0,0.0,445.0,128.71,28.9
IL-01722,2024-04-19,2024,4,שישי,אביב,,מגה,באר שבע,דרום,מזון ומשקאות,מוצרי חלב,יוגורט דנונה,2,4.5,0.0,9.0,0.62,6.9
IL-01723,2022-09-23,2022,9,שישי,סתיו,,שופרסל,פתח תקווה,מרכז,אלקטרוניקה,טלפונים,Samsung Galaxy,4,2799.0,0.0,11196.0,1562.45,14.0
IL-01724,2022-03-07,2022,3,שני,אביב,,חצי חינם,נהריה,צפון,בית וגן,ניקיון,שואב אבק,5,399.0,0.0,1995.0,603.08,30.2
IL-01725,2024-01-21,2024,1,ראשון,חורף,,יינות ביתן,חולון,מרכז,מזון ומשקאות,מוצרי חלב,חלב תנובה 3%,8,5.52,0.2,44.16,5.53,12.5
IL-01726,2022-06-13,2022,6,שני,קיץ,,חצי חינם,חיפה,צפון,מזון ומשקאות,בשר ועוף,"כנפיים ק""ג",7,19.92,0.2,139.44,15.96,11.4
IL-01727,2024-01-26,2024,1,שישי,חורף,,חצי חינם,אשקלון,דרום,מזון ומשקאות,חטיפים,במבה,1,5.02,0.15,5.02,0.61,12.2
IL-01728,2022-05-25,2022,5,רביעי,אביב,,מגה,נתניה,שרון,מזון ומשקאות,לחם ומאפים,פיתות,2,8.9,0.0,17.8,2.32,13.0
IL-01729,2023-04-19,2023,4,רביעי,אביב,,ויקטורי,נצרת,צפון,אלקטרוניקה,מחשבים,טאבלט iPad,4,2249.1,0.1,8996.4,1473.68,16.4
IL-01730,2023-01-02,2023,1,שני,חורף,,חצי חינם,נצרת,צפון,בריאות ויופי,ויטמינים,ויטמין D3,2,35.2,0.2,70.4,20.88,29.7
IL-01731,2024-01-04,2024,1,חמישי,חורף,,ויקטורי,באר שבע,דרום,בית וגן,מטבח,סיר נירוסטה,3,134.1,0.1,402.3,115.01,28.6
IL-01732,2024-04-02,2024,4,שלישי,אביב,,מגה,נצרת,צפון,אלקטרוניקה,מטעני חשמל,סוללה ניידת,8,149.0,0.0,1192.0,179.57,15.1
IL-01733,2023-10-08,2023,10,ראשון,סתיו,,מגה,נצרת,צפון,ביגוד והנעלה,הנעלה,נעלי עבודה,7,223.2,0.2,1562.4,565.98,36.2
IL-01734,2023-10-25,2023,10,רביעי,סתיו,,רמי לוי,נהריה,צפון,בריאות ויופי,קוסמטיקה,שפתון L'Oreal,5,49.0,0.0,245.0,65.89,26.9
IL-01735,2024-07-15,2024,7,שני,קיץ,,ויקטורי,חיפה,צפון,מזון ומשקאות,משקאות,קוקה קולה 1.5L,5,7.11,0.1,35.55,5.36,15.1
IL-01736,2022-02-03,2022,2,חמישי,חורף,,רמי לוי,נצרת,צפון,ביגוד והנעלה,גברים,מכנסי ג'ינס,4,199.0,0.0,796.0,289.89,36.4
IL-01737,2023-07-20,2023,7,חמישי,קיץ,,יינות ביתן,הרצליה,שרון,בריאות ויופי,קוסמטיקה,קרם לחות SPF,1,65.55,0.05,65.55,21.48,32.8
IL-01739,2024-03-29,2024,3,שישי,אביב,,רמי לוי,נהריה,צפון,מזון ומשקאות,משקאות,מים נביעות 6פ',8,14.9,0.0,119.2,20.26,17.0
IL-01740,2024-09-26,2024,9,חמישי,סתיו,ראש השנה,חצי חינם,נתניה,שרון,בריאות ויופי,תרופות OTC,וויקס,5,54.78,0.0,273.9,95.98,35.0
IL-01741,2024-02-21,2024,2,רביעי,חורף,,שופרסל,ראשון לציון,מרכז,ביגוד והנעלה,ילדים,נעלי ילדים,7,95.2,0.2,666.4,196.44,29.5
IL-01742,2022-09-04,2022,9,ראשון,סתיו,,רמי לוי,נתניה,שרון,בריאות ויופי,תרופות OTC,וויקס,7,24.9,0.0,174.3,49.09,28.2
IL-01743,2023-09-17,2023,9,ראשון,סתיו,,שופרסל,נצרת,צפון,ביגוד והנעלה,אביזרים,ארנק עור,3,149.0,0.0,447.0,148.07,33.1
IL-01744,2024-10-25,2024,10,שישי,סתיו,,רמי לוי,אשדוד,דרום,אלקטרוניקה,טלפונים,Xiaomi 13,7,1424.05,0.05,9968.35,1802.11,18.1
IL-01745,2024-10-30,2024,10,רביעי,סתיו,,רמי לוי,ראשון לציון,מרכז,בית וגן,שינה,שמיכת קיץ,3,149.0,0.0,447.0,132.1,29.6
IL-01746,2023-11-20,2023,11,שני,חורף,,ויקטורי,ראשון לציון,מרכז,בריאות ויופי,תרופות OTC,וויקס,7,24.9,0.0,174.3,51.98,29.8
IL-01747,2022-06-24,2022,6,שישי,קיץ,,יינות ביתן,בית שמש,ירושלים,בית וגן,סלון,כרית נוי,8,53.1,0.1,424.8,121.32,28.6
IL-01748,2023-02-10,2023,2,שישי,חורף,,ויקטורי,חיפה,צפון,בריאות ויופי,קוסמטיקה,פאודר פנים,4,89.0,0.0,356.0,105.85,29.7
IL-01749,2022-05-27,2022,5,שישי,אביב,,ויקטורי,בני ברק,מרכז,ביגוד והנעלה,אביזרים,חגורת עור,2,75.65,0.15,151.3,50.18,33.2
IL-01750,2023-12-15,2023,12,שישי,חורף,,מגה,חולון,מרכז,ביגוד והנעלה,אביזרים,ארנק עור,1,119.2,0.2,119.2,36.69,30.8
IL-01751,2023-09-17,2023,9,ראשון,סתיו,,מגה,פתח תקווה,מרכז,בריאות ויופי,ויטמינים,ויטמין D3,3,41.8,0.05,125.4,36.65,29.2
IL-01752,2022-04-02,2022,4,שבת,אביב,,רמי לוי,חולון,מרכז,ביגוד והנעלה,נשים,מכנסי ספורט,2,129.0,0.0,258.0,79.84,30.9
IL-01753,2022-04-22,2022,4,שישי,אביב,,יינות ביתן,חולון,מרכז,אלקטרוניקה,אוזניות,AirPods,6,594.15,0.15,3564.9,537.32,15.1
IL-01754,2022-08-16,2022,8,שלישי,קיץ,,ויקטורי,בני ברק,מרכז,בית וגן,מטבח,מחבת טפלון,4,84.15,0.15,336.6,104.89,31.2
IL-01755,2023-03-10,2023,3,שישי,אביב,,יינות ביתן,חולון,מרכז,בריאות ויופי,היגיינה,משחת שיניים,8,13.41,0.1,107.28,31.27,29.1
IL-01756,2022-10-17,2022,10,שני,סתיו,,חצי חינם,אשדוד,דרום,מזון ומשקאות,פירות וירקות,"בננות ק""ג",1,6.9,0.0,6.9,1.37,19.9
IL-01757,2022-12-15,2022,12,חמישי,חורף,,מגה,תל אביב,מרכז,אלקטרוניקה,מטעני חשמל,כבל Lightning,1,46.55,0.05,46.55,9.07,19.5
IL-01758,2022-01-18,2022,1,שלישי,חורף,,ויקטורי,ראשון לציון,מרכז,ביגוד והנעלה,ילדים,חליפת תינוק,1,79.0,0.0,79.0,28.09,35.6
IL-01759,2024-02-19,2024,2,שני,חורף,,חצי חינם,נצרת,צפון,מזון ומשקאות,בשר ועוף,"בשר טחון ק""ג",2,52.9,0.0,105.8,9.97,9.4
IL-01760,2023-02-12,2023,2,ראשון,חורף,,ויקטורי,נצרת,צפון,בריאות ויופי,תרופות OTC,אקמול 500מג,4,17.01,0.1,68.04,23.2,34.1
IL-01761,2023-09-17,2023,9,ראשון,סתיו,,ויקטורי,ירושלים,ירושלים,בית וגן,סלון,כרית נוי,6,50.15,0.15,300.9,79.06,26.3
IL-01762,2023-12-22,2023,12,שישי,חורף,,חצי חינם,ירושלים,ירושלים,ביגוד והנעלה,נשים,מכנסי ספורט,5,103.2,0.2,516.0,182.49,35.4
IL-01763,2024-03-03,2024,3,ראשון,אביב,,שופרסל,הרצליה,שרון,בריאות ויופי,היגיינה,שמפו Head&Shoulders,3,29.9,0.0,89.7,35.59,39.7
IL-01764,2024-03-15,2024,3,שישי,אביב,,רמי לוי,באר שבע,דרום,מזון ומשקאות,משקאות,מים נביעות 6פ',4,14.15,0.05,56.6,6.63,11.7
IL-01765,2023-05-08,2023,5,שני,אביב,,רמי לוי,נהריה,צפון,בית וגן,שינה,ציפית,6,27.55,0.05,165.3,51.98,31.4
IL-01766,2022-09-27,2022,9,שלישי,סתיו,,חצי חינם,חולון,מרכז,אלקטרוניקה,מטעני חשמל,סוללה ניידת,4,119.2,0.2,476.8,75.77,15.9
IL-01767,2022-10-10,2022,10,שני,סתיו,,חצי חינם,בני ברק,מרכז,בריאות ויופי,קוסמטיקה,שפתון L'Oreal,3,41.65,0.15,124.95,39.85,31.9
IL-01768,2022-11-20,2022,11,ראשון,חורף,,שופרסל,ירושלים,ירושלים,בריאות ויופי,תרופות OTC,אקמול 500מג,6,15.12,0.2,90.72,33.85,37.3
IL-01769,2022-10-26,2022,10,רביעי,סתיו,,שופרסל,אשדוד,דרום,ביגוד והנעלה,הנעלה,סנדלי נוחות,5,189.05,0.05,945.25,313.06,33.1
IL-01770,2023-01-20,2023,1,שישי,חורף,,רמי לוי,ראשון לציון,מרכז,אלקטרוניקה,טלפונים,Xiaomi 13,5,1349.1,0.1,6745.5,1580.97,23.4
IL-01771,2023-04-18,2023,4,שלישי,אביב,,רמי לוי,נהריה,צפון,אלקטרוניקה,טלפונים,Samsung Galaxy,2,2379.15,0.15,4758.3,957.52,20.1
IL-01772,2024-09-03,2024,9,שלישי,סתיו,,יינות ביתן,פתח תקווה,מרכז,בריאות ויופי,ויטמינים,ויטמין D3,6,44.0,0.0,264.0,80.03,30.3
IL-01773,2024-03-04,2024,3,שני,אביב,,ויקטורי,חיפה,צפון,אלקטרוניקה,מחשבים,לפטופ Lenovo,4,2999.0,0.0,11996.0,2386.87,19.9
IL-01774,2024-04-16,2024,4,שלישי,אביב,,שופרסל,אשקלון,דרום,ביגוד והנעלה,הנעלה,נייקי אייר,4,319.2,0.2,1276.8,484.13,37.9
IL-01775,2023-02-23,2023,2,חמישי,חורף,,רמי לוי,ראשון לציון,מרכז,בית וגן,גינה,עציץ קרמיקה,6,39.2,0.2,235.2,70.24,29.9
IL-01776,2024-07-26,2024,7,שישי,קיץ,,רמי לוי,הרצליה,שרון,בית וגן,ניקיון,סבון כלים Fairy,7,10.96,0.15,76.72,17.87,23.3
IL-01777,2023-10-03,2023,10,שלישי,סתיו,,יינות ביתן,בית שמש,ירושלים,בריאות ויופי,תרופות OTC,וויקס,2,23.65,0.05,47.3,14.1,29.8
IL-01778,2024-07-24,2024,7,רביעי,קיץ,,שופרסל,נתניה,שרון,אלקטרוניקה,מטעני חשמל,סוללה ניידת,7,126.65,0.15,886.55,153.0,17.3
IL-01779,2022-03-22,2022,3,שלישי,אביב,,ויקטורי,נצרת,צפון,בריאות ויופי,תרופות OTC,אקמול 500מג,5,17.95,0.05,89.75,28.52,31.8
IL-01780,2024-03-26,2024,3,שלישי,אביב,,מגה,הרצליה,שרון,ביגוד והנעלה,הנעלה,נייקי אייר,7,399.0,0.0,2793.0,1029.56,36.9
IL-01781,2022-04-22,2022,4,שישי,אביב,,יינות ביתן,אשדוד,דרום,אלקטרוניקה,טלוויזיות,"TCL 43""",8,1299.0,0.0,10392.0,1925.96,18.5
IL-01782,2024-10-22,2024,10,שלישי,סתיו,,רמי לוי,ראשון לציון,מרכז,בריאות ויופי,קוסמטיקה,שפתון L'Oreal,7,49.0,0.0,343.0,96.02,28.0
IL-01783,2024-07-12,2024,7,שישי,קיץ,,רמי לוי,תל אביב,מרכז,בית וגן,גינה,אדמת גינה,4,27.55,0.05,110.2,32.11,29.1
IL-01784,2022-07-04,2022,7,שני,קיץ,,מגה,בני ברק,מרכז,אלקטרוניקה,טלפונים,iPhone 15,2,3399.15,0.15,6798.3,1348.22,19.8
IL-01785,2024-07-09,2024,7,שלישי,קיץ,,מגה,באר שבע,דרום,מזון ומשקאות,חטיפים,דיאגו,7,8.42,0.15,58.94,8.06,13.7
IL-01786,2024-11-13,2024,11,רביעי,חורף,,רמי לוי,נהריה,צפון,בית וגן,גינה,עציץ קרמיקה,1,39.2,0.2,39.2,12.25,31.2
IL-01787,2022-12-16,2022,12,שישי,חורף,,מגה,הרצליה,שרון,בריאות ויופי,קוסמטיקה,קרם לחות SPF,3,69.0,0.0,207.0,71.42,34.5
IL-01788,2023-09-26,2023,9,שלישי,סתיו,ראש השנה,ויקטורי,אשדוד,דרום,ביגוד והנעלה,נשים,שמלת קיץ,3,327.8,0.0,983.4,357.74,36.4
IL-01789,2024-10-16,2024,10,רביעי,סתיו,שמחת תורה,ויקטורי,נתניה,שרון,בריאות ויופי,תרופות OTC,וויקס,8,37.35,0.0,298.8,94.99,31.8
IL-01790,2023-03-21,2023,3,שלישי,אביב,,חצי חינם,נהריה,צפון,בית וגן,ניקיון,מגב רצפה,8,39.0,0.0,312.0,71.81,23.0
IL-01791,2022-01-14,2022,1,שישי,חורף,,יינות ביתן,חולון,מרכז,ביגוד והנעלה,אביזרים,ארנק עור,4,149.0,0.0,596.0,216.28,36.3
IL-01792,2022-03-08,2022,3,שלישי,אביב,,יינות ביתן,באר שבע,דרום,בריאות ויופי,היגיינה,דאודורנט Rexona,2,19.9,0.0,39.8,12.98,32.6
IL-01793,2022-08-12,2022,8,שישי,קיץ,,רמי לוי,בית שמש,ירושלים,אלקטרוניקה,אוזניות,JBL Tune,3,284.05,0.05,852.15,160.33,18.8
IL-01794,2024-01-08,2024,1,שני,חורף,,שופרסל,הרצליה,שרון,מזון ומשקאות,בשר ועוף,"בשר טחון ק""ג",6,50.25,0.05,301.5,24.63,8.2
IL-01795,2022-05-19,2022,5,חמישי,אביב,,ויקטורי,אשקלון,דרום,בריאות ויופי,תרופות OTC,אספירין,8,14.9,0.0,119.2,34.28,28.8
IL-01796,2022-09-07,2022,9,רביעי,סתיו,,מגה,אשדוד,דרום,ביגוד והנעלה,אביזרים,כובע קיץ,4,58.65,0.15,234.6,89.52,38.2
IL-01797,2023-03-05,2023,3,ראשון,אביב,,שופרסל,נהריה,צפון,מזון ומשקאות,חטיפים,דיאגו,2,9.4,0.05,18.8,2.23,11.9
IL-01798,2023-10-11,2023,10,רביעי,סתיו,,יינות ביתן,בני ברק,מרכז,בריאות ויופי,היגיינה,שמפו Head&Shoulders,8,26.91,0.1,215.28,73.29,34.0
IL-01799,2024-10-16,2024,10,רביעי,סתיו,שמחת תורה,רמי לוי,חיפה,צפון,בריאות ויופי,קוסמטיקה,פאודר פנים,5,133.5,0.0,667.5,214.17,32.1
IL-01800,2022-01-04,2022,1,שלישי,חורף,,שופרסל,ראשון לציון,מרכז,בית וגן,מטבח,בלנדר ידני,4,55.2,0.2,220.8,62.02,28.1
IL-01801,2024-04-29,2024,4,שני,אביב,,שופרסל,בית שמש,ירושלים,ביגוד והנעלה,ילדים,כובע ספורט,4,49.0,0.0,196.0,74.12,37.8
IL-01802,2023-02-17,2023,2,שישי,חורף,,מגה,אשדוד,דרום,ביגוד והנעלה,גברים,מכנסי ג'ינס,5,179.1,0.1,895.5,299.56,33.5
IL-01803,2023-10-26,2023,10,חמישי,סתיו,,שופרסל,אשקלון,דרום,מזון ומשקאות,משקאות,מים נביעות 6פ',6,14.15,0.05,84.9,10.43,12.3
IL-01804,2022-03-01,2022,3,שלישי,אביב,,רמי לוי,נתניה,שרון,אלקטרוניקה,אוזניות,Sony WH-1000,8,854.05,0.05,6832.4,1135.08,16.6
IL-01805,2022-03-14,2022,3,שני,אביב,,רמי לוי,באר שבע,דרום,בית וגן,סלון,מנורת שולחן,8,103.2,0.2,825.6,220.41,26.7
IL-01806,2024-04-27,2024,4,שבת,אביב,,יינות ביתן,תל אביב,מרכז,ביגוד והנעלה,אביזרים,ארנק עור,6,134.1,0.1,804.6,274.15,34.1
IL-01807,2022-02-08,2022,2,שלישי,חורף,,יינות ביתן,חולון,מרכז,ביגוד והנעלה,ילדים,חליפת תינוק,3,79.0,0.0,237.0,84.53,35.7
